"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","120090007","3","16","ug/m3 SC","15","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/02/2024","AQS","120090007","3","9","ug/m3 SC","8","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/03/2024","AQS","120090007","3","10","ug/m3 SC","9","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/04/2024","AQS","120090007","3","10","ug/m3 SC","9","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/05/2024","AQS","120090007","3","12","ug/m3 SC","11","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/06/2024","AQS","120090007","3","13","ug/m3 SC","12","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/07/2024","AQS","120090007","3","10","ug/m3 SC","9","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/08/2024","AQS","120090007","3","13","ug/m3 SC","12","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/09/2024","AQS","120090007","3","19","ug/m3 SC","18","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/10/2024","AQS","120090007","3","17","ug/m3 SC","16","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/11/2024","AQS","120090007","3","12","ug/m3 SC","11","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/12/2024","AQS","120090007","3","10","ug/m3 SC","9","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/13/2024","AQS","120090007","3","23","ug/m3 SC","21","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/14/2024","AQS","120090007","3","7","ug/m3 SC","6","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/15/2024","AQS","120090007","3","9","ug/m3 SC","8","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/16/2024","AQS","120090007","3","9","ug/m3 SC","8","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/17/2024","AQS","120090007","3","9","ug/m3 SC","8","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","639","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
