"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","120013012","3","6.2","ug/m3 LC","34","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/02/2024","AQS","120013012","3","5.3","ug/m3 LC","29","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/03/2024","AQS","120013012","3","5.5","ug/m3 LC","31","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/04/2024","AQS","120013012","3","5.2","ug/m3 LC","29","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/05/2024","AQS","120013012","3","5.1","ug/m3 LC","28","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/06/2024","AQS","120013012","3","5.7","ug/m3 LC","32","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/07/2024","AQS","120013012","3","4.5","ug/m3 LC","25","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/08/2024","AQS","120013012","3","4.5","ug/m3 LC","25","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/09/2024","AQS","120013012","3","6.1","ug/m3 LC","34","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/10/2024","AQS","120013012","3","3.9","ug/m3 LC","22","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/11/2024","AQS","120013012","3","4.1","ug/m3 LC","23","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/12/2024","AQS","120013012","3","4.6","ug/m3 LC","26","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
"01/13/2024","AQS","120013012","3","6.8","ug/m3 LC","38","Paynes Prairie Farm","1","100.0000","88101","PM2.5 - Local Conditions","636","Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled","23540","Gainesville, FL","12","Florida","001","Alachua","29.5661120008103","-82.26608"
